origin	raw_sha256	normalized_sha256	basename	encoding	classification	markers
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/madnws28.zip![4]:PCM.NFO	cdd673edff07834fffa57a5ae07af0fffee0f03b10029b88c6df5e7c7f99a0c0	a27d192286bbf69d08fc8f20850ff5711ff4ea1359cd00aedcdcee5681b4f232	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/madpwt05.zip![4]:PCM.NFO	cdd673edff07834fffa57a5ae07af0fffee0f03b10029b88c6df5e7c7f99a0c0	a27d192286bbf69d08fc8f20850ff5711ff4ea1359cd00aedcdcee5681b4f232	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/madqst02.zip![4]:PCM.NFO	cdd673edff07834fffa57a5ae07af0fffee0f03b10029b88c6df5e7c7f99a0c0	a27d192286bbf69d08fc8f20850ff5711ff4ea1359cd00aedcdcee5681b4f232	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/madstu27.zip![4]:PCM.NFO	cdd673edff07834fffa57a5ae07af0fffee0f03b10029b88c6df5e7c7f99a0c0	a27d192286bbf69d08fc8f20850ff5711ff4ea1359cd00aedcdcee5681b4f232	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/madsyp02.zip![4]:PCM.NFO	cdd673edff07834fffa57a5ae07af0fffee0f03b10029b88c6df5e7c7f99a0c0	a27d192286bbf69d08fc8f20850ff5711ff4ea1359cd00aedcdcee5681b4f232	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/madtim22.zip![4]:PCM.NFO	cdd673edff07834fffa57a5ae07af0fffee0f03b10029b88c6df5e7c7f99a0c0	a27d192286bbf69d08fc8f20850ff5711ff4ea1359cd00aedcdcee5681b4f232	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/madtop02.zip![4]:PCM.NFO	cdd673edff07834fffa57a5ae07af0fffee0f03b10029b88c6df5e7c7f99a0c0	a27d192286bbf69d08fc8f20850ff5711ff4ea1359cd00aedcdcee5681b4f232	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/madvip27.zip![4]:PCM.NFO	cdd673edff07834fffa57a5ae07af0fffee0f03b10029b88c6df5e7c7f99a0c0	a27d192286bbf69d08fc8f20850ff5711ff4ea1359cd00aedcdcee5681b4f232	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/madwiz12.zip![4]:PCM.NFO	cdd673edff07834fffa57a5ae07af0fffee0f03b10029b88c6df5e7c7f99a0c0	a27d192286bbf69d08fc8f20850ff5711ff4ea1359cd00aedcdcee5681b4f232	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/madyes17.zip![4]:PCM.NFO	cdd673edff07834fffa57a5ae07af0fffee0f03b10029b88c6df5e7c7f99a0c0	a27d192286bbf69d08fc8f20850ff5711ff4ea1359cd00aedcdcee5681b4f232	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/mailbox.zip![5]:PCM.805	802edc2ac3263bc29b3fd6b83b81d50d8d25f6fb9e16495ea5f08ff376b672bc	d94e062fa575bea31532fb513180ec1b7a19f1d654c749a07cc4d1443664d10b	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/mayday06.zip![3]:PCM.805	802edc2ac3263bc29b3fd6b83b81d50d8d25f6fb9e16495ea5f08ff376b672bc	d94e062fa575bea31532fb513180ec1b7a19f1d654c749a07cc4d1443664d10b	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
