sha256	size	selection	origin (escaped)
e0a0a0bd1ef263bfa0472886c9597f99acbf4774623dccc07b42b87f22b000e6	1018	member-rule	bac-v10/amiga_charset/childs_play.txt
c21b73298d7eda72ae9dba0f5805e89435817588031735eb59998caf6fa5de1b	1644	member-rule	bac-v10/amiga_charset/childs_play2.txt
66e60d90a048337ec7384777e111cf67dda2e3353f43c3a14e7b07000d4a5313	503	member-rule	bac-v10/amiga_charset/chronic.txt
58c804e8d38b4ee46519633f55a479d0640eaa319fb44e6ca7af98c51d634226	1003	member-rule	bac-v10/amiga_charset/chronicle.txt
03e9706dbdc45a3b6183be6694be170a3624c8e3c3115d7f1cd501ccedd6e3d0	1006	member-rule	bac-v10/amiga_charset/clone_world.txt
b59e6738034335f6c683e64ccff3dd9aa2193a10cd0253e3598b2ad0c1da529e	994	member-rule	bac-v10/amiga_charset/coast_link.txt
8247c774beef62dd7d1af52e80a9b5701efc6a27473e7c2dbdf92b8175e4184d	1620	member-rule	bac-v10/amiga_charset/cold_az_ice.txt
aac41d85787563479652c6b2a37658dad927c418a0893f505892964325d7c468	1423	member-rule	bac-v10/amiga_charset/cold_front.txt
d65bd20d0e211289b4b9489c2c79456e266d14589601f6dd8987e6b700cf5cd0	847	member-rule	bac-v10/amiga_charset/comicon.txt
4792e22c56d9f3d8d724757ca737fcf07003060fa0547c8fb1c9e45c4b39617d	1007	member-rule	bac-v10/amiga_charset/computer_guru.txt
cfb727afe4605ba2ed13b2b3ba00ca3e406dad8d01d29fa4f1f55aed704d1ede	1639	member-rule	bac-v10/amiga_charset/concept_elite.txt
cc4135f0137df4658f2440a833fe4a3b4d2be692c871fdc3d0fa6471a9bc59ee	1225	member-rule	bac-v10/amiga_charset/console_cat.txt
9950346abdefb8e752dddf264f49cba4568b5de92b9180641cf83cd3464cd4f2	1407	member-rule	bac-v10/amiga_charset/consolia.txt
0beafb6ee3ec172980987ebf793aa80ca69fe7da22d1079eebeea3f20442e2ab	2008	member-rule	bac-v10/amiga_charset/cool_corona.txt
ed25f23895464a83871db452f9c043ab5d68ff9447dac62abdc1f801d9891015	965	member-rule	bac-v10/amiga_charset/coolness.txt
2c9208e904c760a3bf7cd2c029343f893dd00ce4328a523c3cf2890652cd08de	1312	member-rule	bac-v10/amiga_charset/corpse_cadaver.txt
c02dd6d357146e65411cf585aeece790c27d623c3220658b4c537a0455a51c10	1247	member-rule	bac-v10/amiga_charset/cosa_nostra.txt
4e35898b859cdd4194174e4d58d10f5cf5d0a15e1c63b9be87c20a87afea4fcc	1497	member-rule	bac-v10/amiga_charset/cosmic_circus.txt
a5023edb8f97d58841c4f768a37accf8d3057a79faed8bd1d79114f223a38005	1703	member-rule	bac-v10/amiga_charset/cosmic_circus2.txt
6c96942d6b6fc59766473058e5700e2bbfdd74b44486daad7e8b1ad299b8c54c	3680	member-rule	bac-v10/amiga_charset/cosmic_girl.txt
5333f3a993556e5d64c542df84f39b0b9723b172c85b2b45c7abb305848ff0b9	1751	member-rule	bac-v10/amiga_charset/cosmic_trance.txt
73eb084d67733dd30d702e2b08534b25c2b4882d8deadc8fdef4e1d9731b822d	1622	member-rule	bac-v10/amiga_charset/cosmo.txt
05ca0e235733849c4ca506a1b179346d8cc262db1fba7330bc7a73992d34ec02	3714	member-rule	bac-v10/amiga_charset/count_zero.txt
53af50d18145a4dce5c8ec8e4da53761983cef07db6658072a75f5792c07b6e5	951	member-rule	bac-v10/amiga_charset/craftworld.txt
bd3ea7817ca016afd19585290d8e14caad2d67c326ecfa47f70aacf95e5eee1f	1468	member-rule	bac-v10/amiga_charset/crashpoint.txt
a38c31584bc529409bb16c9d3a7546b41a723803174c0053d49d4cff2917c9c7	1054	member-rule	bac-v10/amiga_charset/crazy_world.txt
4cf6e872e514eceaba6534b8a4cd422232bab3c34b5dddd014bc9369f01e7b23	3732	member-rule	bac-v10/amiga_charset/creeping_death.txt
f5245ff7fa37dbf47ba76ec6b8dec88e1b2de306c33905f64b77e2d5a5b127ff	778	member-rule	bac-v10/amiga_charset/crematory.txt
57772aa4cc3192aaec67c0fed1989ffbd555ddbd4f61657929429679c0ebd369	665	member-rule	bac-v10/amiga_charset/crime_city.txt
5da5708d187cd6272d68ebf817e1aae5ddcacd5a81e74d1c9db657b802108aab	1443	member-rule	bac-v10/amiga_charset/cross_section.txt
ccc2eeb481ade4f6f70016d8c6795709e452469220188424e6615160c2e00d14	1272	member-rule	bac-v10/amiga_charset/crossed_bones.txt
6a4e7abe5e3a78b25c92e49789c9d907593ebf3b3e7072f29b792d70b2128e36	1377	member-rule	bac-v10/amiga_charset/crypt.txt
6950d83d27676577a7293070ede9477efaff6d9fbfa168795e280b2d721b18e8	1192	member-rule	bac-v10/amiga_charset/cryptic_slaughter.txt
d122330c537d7b73e9367d426d31bbe840e6f3e5f9e5a5d0dc833a100998183a	992	member-rule	bac-v10/amiga_charset/cryptic_slaughter2.txt
134584561b53d1b58ea1210f2f91290af7b6ed7fd60d81b6acdce996b9db51d0	1374	member-rule	bac-v10/amiga_charset/cyberteen.txt
16100212ea304cd7d06ebdbf2af43ad2b644aa620b428cfc76bc7f52a3cd2dfb	1130	member-rule	bac-v10/amiga_charset/cypress_hill.txt
fcc2836a4e93dc254a6e91e1acd06c868b5585796606a01699fdd45d5367a731	1680	member-rule	bac-v10/amiga_charset/cypress_hill2.txt
5cec0c354809dbc92d15330d6f5db830642a761227eeafaaca9257be51e95514	800	member-rule	bac-v10/amiga_charset/da_joint.txt
2279f7d92ef9ace47077790a8ded4bc2410737f23b2a86347f07aa9b540b94bf	1863	member-rule	bac-v10/amiga_charset/dagoberts_revange.txt
561e6bd84e098a4b88d2597755e18aa43db21863f29d008d31ec7bf09a41f764	1859	member-rule	bac-v10/amiga_charset/dagoberts_revange2.txt
fa526fcaa3ff784df4ad63c219c7166d341bff04eeb612b63522389378b12d32	4087	member-rule	bac-v10/amiga_charset/daily_terror.txt
11c7e72ad36632540bfa6fa38c086718db7ffec4ef0a75a782f01fd4614952a6	1280	member-rule	bac-v10/amiga_charset/damnation.txt
b4dd09db440028d1da642f299f2a68289625cd2e37ee7c1d7ef1dfb7c1a30025	1442	member-rule	bac-v10/amiga_charset/danse_macabre.txt
791868ea7a430bac87a08108e082c7de0f4599847746bf3b8db55d47602e6f72	1261	member-rule	bac-v10/amiga_charset/dark_domain.txt
8d8ea2d46c5937a6df44ad49f256b3479a6aa41d573e76a0ac483e43d35688d1	1571	member-rule	bac-v10/amiga_charset/dark_forces.txt
f23ba50bb7a67978fbe7cdf1fb5b32f5026cf541c7a68f2f2b110caacd661a0e	2221	member-rule	bac-v10/amiga_charset/dark_illusion.txt
fea2d3f5bd3121c82de591bd1ddc026531be7726efa1feef7d017954cba22e36	1443	member-rule	bac-v10/amiga_charset/dark_portal.txt
71999c93e4d5b8f097c8ed76803b2adbf4d67cb1c02fed637907b6e832bd53d8	1300	member-rule	bac-v10/amiga_charset/dark_portal2.txt
0b8859c7f0af0bf2bac3cbc929d3dcb0d6319a800ce5f5db94ad8ef854abdb96	1302	member-rule	bac-v10/amiga_charset/dark_room.txt
83ff779774403fbf88cc6fe4c7e21229f99cc72ffa9aae5e03ab4275d83dea49	773	member-rule	bac-v10/amiga_charset/dark_sun.txt
627e93cb80fbce9d8b7a13f6906e65609dca9f2be0d4962a8b4b8d77eea91dc2	1392	member-rule	bac-v10/amiga_charset/dark_tower_(FI).txt
7972146ece3b7edc91f7067c70387cdf4132c25e2fe1c2f3dd16ee5bdd66698d	1543	member-rule	bac-v10/amiga_charset/dark_tower_(US).txt
d0b025adcbe0d355d31f787e34143a01182256ab258137f6b61d3f42c576764b	1232	member-rule	bac-v10/amiga_charset/data_storm.txt
7f1fe19b660d3034d121feaca0b0b760f0afe5b74e9b6633be9b80e17405f963	1271	member-rule	bac-v10/amiga_charset/dead_on_time_(NO).txt
32ff4500d64dc630df304de8df8dd4de9652853d910bdb739d40edae18bfdc4d	3232	member-rule	bac-v10/amiga_charset/dead_on_time_(US).txt
d72f54f897de4db30428cb25020694fae713ada977c8ae4b1705bd5563ed9c40	1269	member-rule	bac-v10/amiga_charset/dead_pirates_society.txt
6d1fe404bb4e2f14c98eb650daa5463894f5b9cd0d7509c487f770b8746752b0	872	member-rule	bac-v10/amiga_charset/deadline.txt
6e4065d2acc2bdcc46c96a8a18acceb1aa59ca5ab9546e80dcad435d7bbf2be0	1181	member-rule	bac-v10/amiga_charset/death_wish1.txt
77edff189a9a4fec3a3c5638ba3f639abe7639be15ea1c9ae8f484e592ce1fe6	506	member-rule	bac-v10/amiga_charset/death_wish2.txt
09e067549c19d601e0650439058198fc044638aea13fda03b6b0e7ee3c3e50de	1703	member-rule	bac-v10/amiga_charset/deathrow.txt
d2ffee631a20a3b95678103a2ad3bd3e93d5b7d5cbd8611b88095adadd66e185	1331	member-rule	bac-v10/amiga_charset/deathrow2.txt
36496671a65634b56cede85db413cce1bc1610a0d625367d6609fc2b583f847b	1164	member-rule	bac-v10/amiga_charset/deathzone.txt
